Lake,RUN,Identifier,Code,Species,Identifier2,Amount,d13C,d13C',d15N,%C,%N,C/N,Untreated d2H,Treated d2H,Teated-Untreated,MC2 Muscle,MC2 resids,LN model,LN resid,,
,,,,,,,,,,,WF,4.36,,,39.47437101,33.6093556,-5.865015414,39.31874158,-0.155629429,,
,,,,,,,,,,,WF,4.95,,,64.15041021,42.26422456,-21.88618565,51.91561453,-12.23479568,,
,,,,,,,,,,,WF,3.37,,,24.81081148,12.10707443,-12.70373705,13.75494953,-11.05586195,,
,,,,,,,,,,,WF,5.19,,,51.88829819,45.21272446,-6.675573732,56.61490638,4.72660819,,
,,,,,,,,,,,WF,4.21,,,43.74304968,31.0144661,-12.72858358,35.84391763,-7.899132046,,
,,,,,,,,,,,WF,4.66,,,45.95485997,38.28894161,-7.665918363,45.92343929,-0.031420681,,
,,,,,,,,,,,WF,3.88,,,29.73395256,24.58412544,-5.149827124,27.74206234,-1.991890221,,
,,,,,,,,,,,WF,4.38,,,31.72838241,33.94165437,2.213271959,39.77299409,8.04461168,,
,,,,,,,,,,,WF,3.32,,,46.28762371,10.67224563,-35.61537808,12.27130456,-34.01631915,,
,,,,,,,,,,,WF,3.61,,,24.94726418,18.42804707,-6.51921711,20.58313124,-4.364132944,,
,,,,,,,,,,,WF,4.17,,,56.06467048,30.29033046,-25.77434002,34.89637822,-21.16829226,,
,,,,,,,,,,,WF,3.54,,,21.80148715,16.67507829,-5.126408861,18.63963418,-3.161852974,,
,,,,,,,,,,,WF,3.74,,,41.37276601,21.50554127,-19.86722474,24.09452328,-17.27824273,,
,,,,,,,,,,,WF,5.23,,,38.64288524,45.67741025,7.034525013,57.37693699,18.73405175,,
,,,,,,,,,,,WF,5.32,,,52.2043469,46.69700179,-5.507345109,59.07041125,6.866064351,,
,,,,,,,,,,,WF,4.62,,,22.24637722,37.70074914,15.45437192,45.06779606,22.82141884,,
,,,,,,,,,,,WF,5.17,,,72.82738001,44.97764139,-27.84973862,56.23168583,-16.59569418,,
,,,,,,,,,,,WF,4.19,,,42.11098079,30.65416124,-11.45681955,35.37127865,-6.739702144,,
,,,,,,,,,,,WF,3.99,,,19.91446931,26.84825311,6.933783799,30.51681483,10.60234552,,
,,,,,,,,,,,WF,4.4,,,39.93065279,34.27087451,-5.659778282,40.2251771,0.294524315,,
,,,,,,,,,,,WF,4.88,,,47.4089393,41.34867599,-6.060263315,50.50200365,3.093064352,,
,,,,,,,,,,,WF,3.49,,,9.477650614,15.37886231,5.901211697,17.22774693,7.750096312,,
,,,,,,,,,,,WF,3.42,,,30.3485099,13.49891192,-16.84959798,15.21674326,-15.13176664,,
,,,,,,,,,,,WF,3.56,,,38.71526932,17.18312781,-21.53214151,19.19881312,-19.5164562,,
,,,,,,,,,,,WF,4.33,,,55.72515692,33.10503987,-22.62011705,38.63344082,-17.0917161,,
,,,,,,,,,,,WF,3.63,,,48.64737748,18.91618873,-29.73118875,21.13149727,-27.51588021,,
,,,,,,,,,,,WF,3.71,,,34.1986681,20.81492835,-13.38373975,23.29515788,-10.90351022,,
,,,,,,,,,,,WF,4.72,,,55.24115878,39.15220516,-16.08895362,47.1932306,-8.047928185,,
