Tissue,Species,Site,Fish length (cm),Fish weight (gram),W/L^3,Sex (M/F),Maturity,Codelake,d2H water,Sample#,Lipid % CN,Lipid % H,Lipid % AVG,Lipid (Mc2),MC2 difference  d13C,MC2 d13C,Fry difference d13C,Fry difference d2H,Fry Modelled d2H,Residuals,d13C,d15N,%C,%N,C/N,d2H
WF,Bleak,Shore,14,21.1,0.007689504,F,M,ERA,-70.56410441,3,21.63869694,3.091344236,12.36502059,35.1093176,3.321330943,-26.82314823,3.260521734,54.81402824,-103.1920575,30.12024659,-26.42,10.92,22.67,6.83,3.32,-73.07
WF,Roach,Pelagic,13.1,22.7,0.010097456,F,M,ERA,-70.56410441,11,13.67218282,2.057445508,7.864814165,20.67140512,2.176899395,-27.42867822,2.130083688,35.80974977,-106.3730957,-3.938944473,-27.57,11.87,40.26,12.8,3.15,-110.31
WF,Perch,Pelagic,15.6,45.1,0.011879625,F,M,ERA,-70.56410441,16,9.824422963,4.48465775,7.154540356,14.05678148,1.615921913,-26.98277097,1.579575721,26.5549244,-98.29727458,5.677178137,,,,,,-92.62
WF,Perch,Shore,19.8,109.6,0.014119359,F,M,ERA,-70.56410441,34,8.866995074,8.6521181,8.759556587,12.81961697,1.508251883,-26.93324777,1.474184927,24.7831546,-88.35667985,17.08656408,-27.51,12.66,34.22,10.08,3.39,-71.27
WF,Vendace,Profundal,21.9,84.7,0.00806401,F,M,HAM,-69.84390886,4,18.83827332,16.43005868,17.634166,26.55474974,2.655970093,-31.18726914,2.602088915,43.74483192,-101.9062051,-7.404521246,-31.42,9.68,46.15,14.32,3.22,-109.31
WF,Roach,Pelagic,15.9,35.1,0.008732041,F,M,HAM,-69.84390886,17,8.265770219,7.708947886,7.987359053,11.84216138,1.422553829,-27.25521396,1.390362912,23.37398679,-89.3706398,-1.328894778,-27.92,8.99,28.8,7.93,3.63,-90.7
WF,Perch,Profundal,21.3,115,0.011900331,F,M,HAM,-69.84390886,26,11.03434662,8.266079726,9.650213175,18.82177767,2.022479036,-29.16095993,1.978309542,33.25820956,-84.72924032,10.9245317,-29.1,11.05,30.39,9.21,3.3,-73.8
WF,Smelt,Pelagic,12.5,11.7,0.0059904,M,M,HII,-69.77996968,8,7.65802269,6.564280406,7.111151548,11.79626611,1.418516197,-27.50106429,1.386415022,23.30761711,-119.1790398,10.6474459,-27.94,15.91,27,7.77,3.47,-108.53
WF,Vendace,Pelagic,16.6,52.7,0.011520899,F,M,HII,-69.77996968,19,25.31568228,25.41784241,25.36676235,37.56935548,3.506175571,-27.07627289,3.444040132,57.89923467,-116.9388016,,-25.79,14.72,24.28,6.72,3.61,
WF,Ruffe,Shore,12.3,25.8,0.013864505,F,M,HII,-69.77996968,27,24.9800638,3.216019417,14.09804161,50.82412535,4.455795579,-31.05627653,4.390977712,73.81860817,-116.4837633,21.9039763,-29.93,16.92,33.08,8.77,3.77,-94.58
WF,Roach,Pelagic,20.1,87.3,0.010750436,F,M,HII,-69.77996968,38,16.88950059,2.531137003,9.710318796,28.95198951,2.846057276,-26.32574157,2.789853668,46.90142566,-93.68603916,-9.535825942,-27.14,10.52,31.04,9.03,3.44,-103.22
WF,Perch,Pelagic,18.9,79.5,0.011775564,F,M,HII,-69.77996968,46,13.38,,13.38,18.26136264,1.975322123,-26.82738757,1.931996472,32.47962069,,,-26.78,15.88,35.35,11.15,3.17,
WF,Roach,Shore,18.1,60.7,0.010236535,F,M,HIR,-85.84591284,7,8.8,11.99706044,10.39853022,13.96432796,1.607906316,-29.07899799,1.571726816,26.42297311,-97.12078743,3.140016008,,,,,,-93.98
WF,Perch,Shore,28.4,328.8,0.014354127,F,M,HIR,-85.84591284,12,12.82569178,14.70994475,13.76781827,21.33169632,2.231576566,-31.02026345,2.183866917,36.71392269,-89.3767806,2.760448324,-30.59,10.24,39.74,12.5,3.18,-86.62
WF,Ruffe,Shore,14.7,37.6,0.011836842,F,M,HIR,-85.84591284,19,13.22053905,15.17834556,14.19944231,28.57900441,2.816671435,-32.85742499,2.760808952,46.41314249,-90.92207182,17.73726771,-31.98,9.85,24.96,7.81,3.2,-73.18
WF,Pike,Shore,33.3,201,0.005443314,M(?),I,HIR,-85.84591284,24,3.36,4.208289054,3.784144527,4.828998382,0.790841347,-30.12095347,0.774167547,13.01486243,-88.53144951,11.79594905,-29.7,9.34,31.82,10.13,3.14,-76.74
WF,Bleak,Pelagic,13.6,17.8,0.007076252,F,M,JOR,-76.85762,2,25.69567792,23.60506529,24.65037161,31.02860521,3.008404435,-28.11786297,2.950434386,49.60101694,-104.327562,2.287281253,-28.85,10.77,38.83,11.99,3.24,-102.04
WF,Vendace,Pelagic,17.4,48.5,0.009206488,F,M,JOR,-76.85762,10,18.4,20.38257173,19.39128587,19.28164726,2.061046505,-30.36445158,2.016199297,33.89519047,-113.2725881,9.847859209,-30.31,10.96,35.61,11.12,3.2,-103.42
WF,Roach,Pelagic,14,25.8,0.009402332,F,I,JOR,-76.85762,14,13.59164826,14.22932702,13.91048764,25.16858161,2.544722871,-29.19483944,2.492327831,41.89959131,-102.2742885,4.05526866,-28.81,10.77,31.24,9.37,3.34,-98.22
WF,Perch,Pelagic,15.7,38.5,0.009948595,F,M,JOR,-76.85762,21,8.579522461,9.155766944,8.867644702,14.2171381,1.629812949,-27.8950203,1.593179016,26.78361523,-97.53069035,2.950337337,-26.5,12.14,19.02,5.92,3.21,-94.58
WF,Perch,Shore,20.4,124.5,0.014664891,M,I,JOR,-76.85762,27,15.12997563,14.9970006,15.06348811,21.5326987,2.248174639,-29.98349768,2.200198078,36.98847282,-98.24566931,-5.260090412,-30.37,13.17,38.16,11.03,3.46,-103.51
WF,Pike,Shore,43.3,470.1,0.00579064,F,M,JOR,-76.85762,38,5.56,5.677749361,5.61887468,3.76372066,0.692220206,-28.74711205,0.678236354,11.40212202,-102.8692174,34.88550168,-28.81,13.11,36.01,11.4,3.16,-67.98
WF,Roach,Profundal,15.3,31.3,0.008739167,M,M,PAN,-72.34988051,2,5.02,5.024038462,5.022019231,9.382155113,1.204372224,-29.28227535,1.177204936,19.7904967,-87.10346617,5.156767483,-28.94,12.8,28.27,8.98,3.15,-81.95
WF,Bleak,Pelagic,14.5,18.9,0.006199516,M,M,PAN,-72.34988051,6,11.94,11.46290733,11.70145366,18.6777168,2.010373342,-26.86938871,1.966418877,33.0583105,-91.29637222,23.00635998,-27.27,9.97,21.37,6.87,3.11,-68.29
WF,Perch,Pelagic,14.2,27.5,0.009604343,F,I,PAN,-72.34988051,11,4.804985927,5.57855742,5.191771673,8.062731632,1.08585168,-29.15174242,1.061561968,17.8463732,-101.0554753,3.955113951,-29.62,12.37,36.24,11.42,3.17,-97.1
WF,Perch,Shore,18.7,88.2,0.013487882,F,M,PAN,-72.34988051,18,7.770800628,6.104218362,6.937509495,11.79723897,1.418601798,-28.79055305,1.386498719,23.30902417,-90.66704937,18.06374184,-29.5,15.14,31.3,9.42,3.32,-72.6
WF,Bleak,Pelagic,15.7,36,0.009302583,F,M,PUS,-68.19082365,8,21.96,22.95311407,22.45655703,31.44254675,3.040512755,-28.05869557,2.982217069,50.13532924,-102.3105212,-11.492444,-28.31,12.91,38.59,12.02,3.21,-113.8
WF,Roach,Pelagic,12.5,20.2,0.0103424,M,M,PUS,-68.19082365,19,20.3,21.67536664,20.98768332,32.36583914,3.111830162,-26.22839633,3.052839241,51.32258883,-115.7010028,0.881758064,-26.99,12.08,40.9,12.37,3.31,-114.82
WF,Perch,Pelagic,13.9,33.7,0.012548318,F,I,PUS,-68.19082365,35,15.12,16.1835245,15.65176225,24.74088157,2.510197991,-28.74414944,2.458283199,41.32725242,-91.99326199,-19.0808752,-27.56,12.89,11.72,3.89,3.02,-111.07
WF,Roach,Pelagic,13.2,25.3,0.011000153,M,M,PYH,,5,21,3.659686852,12.32984343,30.82701049,2.992736996,-23.14138851,2.934928689,49.34034402,-132.7458688,23.48703599,-23.11,10.61,33.53,10.6,3.16,-109.26
WF,Perch,Shore,26.9,250,0.012843493,F,M,PYH,,12,10.46,13.29199767,11.87599884,18.94071404,2.032464881,-23.20608629,1.988118841,33.42311789,-109.3443697,8.687862905,-23.52,13.38,34.09,10.73,3.18,-100.66
WF,Perch,Shore,13.4,25.2,0.010473363,F,M,SUV,-69.64409447,13,11.29898548,10.05301794,10.67600171,15.95037966,1.779018079,-28.11499104,1.739384589,29.24153978,-95.2510375,-9.327070469,-28.82,7.66,42.11,12.37,3.4,-104.58
WF,Perch,Shore,24.1,155.6,0.011116254,F,M,SUV,-69.64409447,23,13.74465486,15.47192354,14.6082892,21.82141975,2.271978405,-28.68975177,2.22362268,37.38227385,-82.03113593,2.548378945,-28.23,10.47,7.87,1.89,4.16,-79.48
WF,Roach,Profundal,15.4,40.3,0.011034252,F,M,TOT,-68.13443436,5,18.37751644,18.28984157,18.333679,27.77815555,2.753340819,-27.22738575,2.698235777,45.36119804,-107.9172123,2.047741269,-27.61,13.04,43.14,13.24,3.26,-105.87
WF,Perch,Profundal,13.4,28.2,0.011720192,?,?,TOT,-68.13443436,16,5.036539601,1.46351243,3.250026015,7.115037906,1.000066502,-27.19969846,0.977924757,16.44031221,-89.70015282,-6.962661592,-28.15,15.09,35.07,10.93,3.21,-96.66
WF,Perch,Pelagic,16.2,52.5,0.012348502,F,M,TOT,-68.13443436,31,3.412901953,3.758305648,3.5856038,5.810296433,0.881052864,-26.69740531,0.86198162,14.49114244,-98.48074387,15.85736746,-26.79,15.06,32.34,10.37,3.12,-82.62
WF,Bleak,Shore,17.4,37.7,0.007156383,F,M,VES,-69.27396827,2,13.91391391,5.684689237,9.799301575,8.545994117,1.129384769,-24.82036355,1.104025966,18.56025366,-106.7963187,20.15501566,-25.27,11.4,37.64,11.91,3.16,-86.64
WF,Vendace,Pelagic,19.4,58.1,0.007957395,M,M,VES,-69.27396827,9,16.45544156,14.56163605,15.50853881,20.87083081,2.19343809,-25.39307077,2.146349609,36.08320314,-108.3100629,19.64195378,-25.72,13.96,42.32,13.23,3.2,-88.67
WF,Smelt,Pelagic,17.9,30.2,0.0052656,M,M,VES,-69.27396827,16,7.760891591,6.630097782,7.195494686,9.897923865,1.250416077,-24.4702301,1.222159089,20.54624022,-98.60138494,28.10113726,-24.67,15.75,33.64,10.52,3.2,-70.5
WF,Roach,Shore,19.3,66.7,0.00927799,M,M,VES,-69.27396827,20,7.266435986,5.683355886,6.474895936,11.32702507,1.377163479,-25.56050414,1.345988428,22.62798831,-100.9116006,11.57067979,-25.94,12.23,38.08,11.76,3.24,-89.34
WF,Perch,Shore,27,240.8,0.012233907,F,M,VES,-69.27396827,34,17.25898292,14.90996399,16.08447345,25.93365623,2.606245965,-25.30758823,2.553017471,42.91987085,-94.72443091,12.32128793,-25.69,14.14,40.47,12.04,3.36,-82.4
